lane,place,time,reaction,champs,sex,event,page
,1,10.07,0.134,Helsinki 1983,M,100m,96
,2,10.21,0.130,Helsinki 1983,M,100m,96
,3,10.24,0.131,Helsinki 1983,M,100m,96
,4,10.27,0.125,Helsinki 1983,M,100m,96
,5,10.29,0.131,Helsinki 1983,M,100m,96
,6,10.32,0.137,Helsinki 1983,M,100m,96
,7,10.33,0.140,Helsinki 1983,M,100m,96
,8,10.36,0.132,Helsinki 1983,M,100m,96
,1,,,,M,100m,96
,2,,,,M,100m,96
,3,,,,M,100m,96
,4,,,,M,100m,96
,5,,,,M,100m,96
,6,,,,M,100m,96
,7,,,,M,100m,96
,8,,,,M,100m,96
,9,,,,M,100m,96
,1,9.93,0.196,Rome 1987,M,100m,97
,2,10.08,0.235,Rome 1987,M,100m,97
,3,10.14,0.135,Rome 1987,M,100m,97
,4,10.20,0.201,Rome 1987,M,100m,97
,5,10.25,0.139,Rome 1987,M,100m,97
,6,10.34,0.225,Rome 1987,M,100m,97
,7,16.23,0.163,Rome 1987,M,100m,97
,1,DQ,0.109,Rome 1987,M,100m,97
,1,9.86,0.140,Tokyo 1991,M,100m,97
,2,9.88,0.120,Tokyo 1991,M,100m,97
,3,9.91,0.090,Tokyo 1991,M,100m,97
,4,9.92,0.126,Tokyo 1991,M,100m,97
,5,9.95,0.151,Tokyo 1991,M,100m,97
,6,9.96,0.114,Tokyo 1991,M,100m,97
,7,10.12,0.172,Tokyo 1991,M,100m,97
,8,10.14,0.148,Tokyo 1991,M,100m,97
,1,9.87,0.140,Stuttgart 1993,M,100m,98
,2,9.92,0.183,Stuttgart 1993,M,100m,98
,3,9.99,0.128,Stuttgart 1993,M,100m,98
,4,10.02,0.144,Stuttgart 1993,M,100m,98
,5,10.02,0.148,Stuttgart 1993,M,100m,98
,6,10.03,0.146,Stuttgart 1993,M,100m,98
,7,10.04,0.164,Stuttgart 1993,M,100m,98
,8,10.18,0.166,Stuttgart 1993,M,100m,98
,1,9.97,0.138,Gothenburg 1995,M,100m,98
,2,10.03,0.132,Gothenburg 1995,M,100m,98
,3,10.03,0.114,Gothenburg 1995,M,100m,98
,4,10.07,0.134,Gothenburg 1995,M,100m,98
,5,10.10,0.155,Gothenburg 1995,M,100m,98
,6,10.12,0.110,Gothenburg 1995,M,100m,98
,7,10.20,0.127,Gothenburg 1995,M,100m,98
,8,10.29,0.135,Gothenburg 1995,M,100m,98
,1,9.86,0.134,Athens 1997,M,100m,99
,2,9.91,0.145,Athens 1997,M,100m,99
,3,9.94,0.134,Athens 1997,M,100m,99
,4,9.95,0.129,Athens 1997,M,100m,99
,5,10.02,0.123,Athens 1997,M,100m,99
,6,10.10,0.135,Athens 1997,M,100m,99
,7,10.12,0.147,Athens 1997,M,100m,99
,8,10.29,0.146,Athens 1997,M,100m,99
,7,,,Athens 1997,M,100m,99
,8,,,Athens 1997,M,100m,99
,1,9.80,0.132,Seville 1999,M,100m,100
,2,9.84,0.127,Seville 1999,M,100m,100
,3,9.97,0.140,Seville 1999,M,100m,100
,4,10.00,0.145,Seville 1999,M,100m,100
,5,10.02,0.136,Seville 1999,M,100m,100
,6,10.04,0.136,Seville 1999,M,100m,100
,7,10.07,0.142,Seville 1999,M,100m,100
,8,10.24,0.173,Seville 1999,M,100m,100
,1,9.82,0.132,Edmonton 2001,M,100m,100
,2,9.94,0.146,Edmonton 2001,M,100m,100
,3,9.98,0.148,Edmonton 2001,M,100m,100
,4,9.99,0.160,Edmonton 2001,M,100m,100
,5,10.07,0.162,Edmonton 2001,M,100m,100
,6,10.11,0.142,Edmonton 2001,M,100m,100
,7,10.24,0.148,Edmonton 2001,M,100m,100
,2,DQ,0.157,Edmonton 2001,M,100m,100
,1,10.07,0.148,Paris 2003,M,100m,101
,2,10.08,0.152,Paris 2003,M,100m,101
,3,10.08,0.112,Paris 2003,M,100m,101
,4,10.13,0.133,Paris 2003,M,100m,101
,5,10.21,0.132,Paris 2003,M,100m,101
,6,10.22,0.164,Paris 2003,M,100m,101
,4,DQ,0.145,Paris 2003,M,100m,101
,5,DQ,0.140,Paris 2003,M,100m,101
,1,,,Paris 2003,M,100m,101
,2,,,Paris 2003,M,100m,101
,3,,,Paris 2003,M,100m,101
,4,,,Paris 2003,M,100m,101
,1,9.88,0.157,Helsinki 2005,M,100m,101
,2,10.05,0.141,Helsinki 2005,M,100m,101
,3,10.05,0.146,Helsinki 2005,M,100m,102
,4,10.07,0.134,Helsinki 2005,M,100m,102
,5,10.09,0.138,Helsinki 2005,M,100m,102
,6,10.13,0.123,Helsinki 2005,M,100m,102
,7,10.14,0.165,Helsinki 2005,M,100m,102
,8,10.20,0.131,Helsinki 2005,M,100m,102
,1,,,Helsinki 2005,M,100m,102
,2,,,Helsinki 2005,M,100m,102
,3,,,Helsinki 2005,M,100m,102
,4,,,Helsinki 2005,M,100m,102
,1,9.85,0.143,Osaka 2007,M,100m,102
,2,9.91,0.137,Osaka 2007,M,100m,102
,3,9.96,0.145,Osaka 2007,M,100m,102
,4,10.07,0.130,Osaka 2007,M,100m,102
,5,10.08,0.180,Osaka 2007,M,100m,102
,6,10.14,0.149,Osaka 2007,M,100m,102
,7,10.23,0.172,Osaka 2007,M,100m,102
,8,10.29,0.166,Osaka 2007,M,100m,102
,1,9.58,0.146,Berlin 2009,M,100m,103
,2,9.71,0.144,Berlin 2009,M,100m,103
,3,9.84,0.134,Berlin 2009,M,100m,103
,4,9.93,0.129,Berlin 2009,M,100m,103
,5,9.93,0.119,Berlin 2009,M,100m,103
,6,10.00,0.123,Berlin 2009,M,100m,103
,7,10.00,0.165,Berlin 2009,M,100m,103
,8,10.34,0.149,Berlin 2009,M,100m,103
,5,10.53,,Berlin 2009,M,100m,103
,6,,,Berlin 2009,M,100m,103
,7,,,Berlin 2009,M,100m,103
,8,,,Berlin 2009,M,100m,103
,5,,,Berlin 2009,M,100m,103
,1,9.92,0.174,Daegu 2011,M,100m,103
,2,10.08,0.175,Daegu 2011,M,100m,103
,3,10.09,0.155,Daegu 2011,M,100m,103
,4,10.19,0.179,Daegu 2011,M,100m,103
,5,10.26,0.165,Daegu 2011,M,100m,103
,6,10.27,0.162,Daegu 2011,M,100m,103
,7,10.95,0.154,Daegu 2011,M,100m,103
,5,,,Daegu 2011,M,100m,103
,6,,,Daegu 2011,M,100m,103
,7,,,Daegu 2011,M,100m,103
,1,,,Daegu 2011,M,100m,104
,2,,,Daegu 2011,M,100m,104
,3,,,Daegu 2011,M,100m,104
,4,,,Daegu 2011,M,100m,104
,1,9.77,0.163,Moscow 2013,M,100m,104
,2,9.85,0.163,Moscow 2013,M,100m,104
,3,9.95,0.157,Moscow 2013,M,100m,104
,4,9.98,0.186,Moscow 2013,M,100m,104
,5,9.98,0.142,Moscow 2013,M,100m,104
,6,10.04,0.158,Moscow 2013,M,100m,104
,7,10.06,0.154,Moscow 2013,M,100m,104
,8,10.21,0.177,Moscow 2013,M,100m,104
,4,,,Moscow 2013,M,100m,104
,1,9.79,0.159,Beijing 2015,M,100m,104
,2,9.80,0.165,Beijing 2015,M,100m,104
,3,9.92,0.135,Beijing 2015,M,100m,104
,5,9.94,0.139,Beijing 2015,M,100m,104
,6,10.00,0.128,Beijing 2015,M,100m,104
,7,10.00,0.144,Beijing 2015,M,100m,104
,8,10.00,0.170,Beijing 2015,M,100m,104
,6,,,Beijing 2015,M,100m,105
,7,,,Beijing 2015,M,100m,105
,1,9.92,0.138,London 2017,M,100m,105
,2,9.94,0.123,London 2017,M,100m,105
,3,9.95,0.183,London 2017,M,100m,105
,4,9.99,0.137,London 2017,M,100m,105
